eth.src,eth.dst,ip.src,ip.dst,frame.len,frame.time_delta,frame.time_relative
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","229.31.144.101","10.0.0.8","54","0.100203000","33.377291000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","98.127.186.69","10.0.0.8","54","0.100201000","33.477492000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","252.254.100.96","10.0.0.8","54","0.100168000","33.577660000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","116.183.210.1","10.0.0.8","54","0.100268000","33.677928000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","189.199.119.23","10.0.0.8","54","0.100215000","33.778143000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","76.221.235.122","10.0.0.8","54","0.100226000","33.878369000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","14.178.145.48","10.0.0.8","54","0.100340000","33.978709000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","39.101.249.181","10.0.0.8","54","0.100293000","34.079002000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","64.235.195.116","10.0.0.8","54","0.100206000","34.179208000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","232.173.113.36","10.0.0.8","54","0.100163000","34.279371000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","90.59.147.50","10.0.0.8","54","0.100200000","34.379571000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","182.30.122.2","10.0.0.8","54","0.100216000","34.479787000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","210.187.108.69","10.0.0.8","54","0.100223000","34.580010000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","93.44.245.28","10.0.0.8","54","0.100249000","34.680259000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","246.169.200.222","10.0.0.8","54","0.100218000","34.780477000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","113.245.73.191","10.0.0.8","54","0.100229000","34.880706000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","251.59.30.1","10.0.0.8","54","0.100229000","34.980935000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","1.223.140.230","10.0.0.8","54","0.100212000","35.081147000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","191.6.74.136","10.0.0.8","54","0.100213000","35.181360000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","163.199.134.254","10.0.0.8","54","0.100191000","35.281551000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","113.150.184.80","10.0.0.8","54","0.100231000","35.381782000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","30.136.111.54","10.0.0.8","54","0.100203000","35.481985000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","174.203.87.31","10.0.0.8","54","0.100205000","35.582190000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","105.102.199.173","10.0.0.8","54","0.100207000","35.682397000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","105.211.70.14","10.0.0.8","54","0.100223000","35.782620000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","229.30.12.137","10.0.0.8","54","0.100244000","35.882864000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","154.183.137.248","10.0.0.8","54","0.100229000","35.983093000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","166.38.127.62","10.0.0.8","54","0.100165000","36.083258000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","182.119.70.199","10.0.0.8","54","0.100193000","36.183451000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","166.49.147.199","10.0.0.8","54","0.100167000","36.283618000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","23.100.36.117","10.0.0.8","54","0.100192000","36.383810000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","51.52.210.119","10.0.0.8","54","0.100205000","36.484015000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","76.178.251.125","10.0.0.8","54","0.100259000","36.584274000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","131.81.22.109","10.0.0.8","54","0.100244000","36.684518000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","200.199.210.11","10.0.0.8","54","0.100216000","36.784734000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","153.113.105.122","10.0.0.8","54","0.100275000","36.885009000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","69.147.63.248","10.0.0.8","54","0.100217000","36.985226000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","200.41.105.250","10.0.0.8","54","0.100215000","37.085441000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","61.122.153.37","10.0.0.8","54","0.100212000","37.185653000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","167.122.199.27","10.0.0.8","54","0.100194000","37.285847000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","114.119.62.167","10.0.0.8","54","0.100229000","37.386076000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","102.30.145.251","10.0.0.8","54","0.100252000","37.486328000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","17.6.109.198","10.0.0.8","54","0.100277000","37.586605000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","78.171.130.86","10.0.0.8","54","0.100252000","37.686857000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","78.86.6.78","10.0.0.8","54","0.100259000","37.787116000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","64.122.74.48","10.0.0.8","54","0.100251000","37.887367000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","32.86.153.222","10.0.0.8","54","0.100229000","37.987596000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","74.95.245.69","10.0.0.8","54","0.100233000","38.087829000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","69.22.135.195","10.0.0.8","54","0.100188000","38.188017000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","70.202.111.109","10.0.0.8","54","0.100315000","38.288332000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","235.188.32.158","10.0.0.8","54","0.100258000","38.388590000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","104.153.2.183","10.0.0.8","54","0.100218000","38.488808000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","38.143.96.202","10.0.0.8","54","0.100199000","38.589007000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","135.199.191.161","10.0.0.8","54","0.100223000","38.689230000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","81.250.86.14","10.0.0.8","54","0.100264000","38.789494000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","235.124.189.49","10.0.0.8","54","0.100375000","38.889869000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","250.192.142.153","10.0.0.8","54","0.100237000","38.990106000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","248.109.158.113","10.0.0.8","54","0.100207000","39.090313000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","249.122.119.73","10.0.0.8","54","0.100266000","39.190579000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","18.52.49.174","10.0.0.8","54","0.100227000","39.290806000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","133.147.121.208","10.0.0.8","54","0.100222000","39.391028000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","76.79.135.173","10.0.0.8","54","0.100185000","39.491213000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","202.31.63.95","10.0.0.8","54","0.100209000","39.591422000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","70.27.173.117","10.0.0.8","54","0.100239000","39.691661000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","41.95.113.104","10.0.0.8","54","0.100205000","39.791866000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","111.64.162.43","10.0.0.8","54","0.100226000","39.892092000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","147.98.80.252","10.0.0.8","54","0.100295000","39.992387000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","186.198.208.186","10.0.0.8","54","0.100214000","40.092601000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","251.18.147.188","10.0.0.8","54","0.100186000","40.192787000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","191.235.243.117","10.0.0.8","54","0.100208000","40.292995000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","188.177.211.39","10.0.0.8","54","0.100232000","40.393227000"
